loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
3896;5;5;Silvanópolis;TO;-11.1532552;-48.1881969
3897;5;5;Belterra;PA;-2.6373308;-54.9212512
3898;5;5;Itabuna;BA;-14.8157149;-39.2950484
3899;5;5;Terra Santa;PA;-2.1045309;-56.4881937
3900;5;5;Maracanaú;CE;-3.867715;-38.6468684
3901;5;5;Araguari;MG;-18.6200326;-48.1930329
3902;5;5;São Paulo;SP;-23.5277365;-46.5202822
3903;5;5;Diadema;SP;-23.6815369;-46.591516
3904;5;5;Herval D'Oeste;SC;-27.1848214;-51.5002733
3905;5;5;Costa Marques;RO;-12.4421048;-64.2250253
3906;5;5;Lindoeste;PR;-25.2875071;-53.5691825
3907;5;5;Belo Horizonte;MG;-19.9519611;-43.9600277
3908;5;5;Arcoverde;PE;-8.425958;-37.0532667
3909;5;5;Coxim;MS;-18.4988364;-54.7547324
3910;5;5;Caxias do Sul;RS;-29.0877181;-51.1912065
3911;5;5;São Domingos do Cariri;PB;-7.6352791;-36.4325641
3912;5;5;Salvador;BA;-12.9481355;-38.4765575
3913;5;5;Manaus;AM;-3.0194168;-59.9239347
3914;6;5;Feira de Santana;BA;-12.1960275;-38.977939
3915;6;5;Goiandira;GO;-18.1452857;-48.0894446
3916;6;5;Rio Branco;AC;-9.9958675;-67.8286919
3917;6;5;Igarapé-Miri;PA;-1.9864134;-48.9555802
3918;6;5;Serrolândia;BA;-11.4192487;-40.3030819
3919;6;5;Mandaguari;PR;-23.5225385;-51.6692848
3920;6;5;Nova Trento;SC;-27.2970731;-48.9448921
3921;6;5;Ji-Paraná;RO;-10.8757091;-61.945709
3922;6;5;Denise;MT;-14.7306098;-57.0430293
3923;7;5;Fortaleza;CE;-3.7970408;-38.5711081
3924;7;5;Terra Santa;PA;-2.09833;-56.4877023
3925;7;5;Pilar;AL;-9.5927328;-35.9575462
3926;7;5;Guamaré;RN;-5.1097863;-36.3259201
3927;7;5;São Pedro da Aldeia;RJ;-22.8489948;-42.0625982
3928;7;5;Passo de Torres;SC;-29.3194942;-49.7272343
3929;7;5;Rio Bonito;RJ;-22.7126226;-42.6269938
3930;7;5;Terra Nova do Norte;MT;-10.6033467;-55.1242651
3931;7;5;Rio de Janeiro;RJ;-22.8784071;-43.5026975
3932;7;5;Blumenau;SC;-26.8903821;-49.0678419
3933;7;5;Manaus;AM;-2.9859119;-59.9984851
3934;8;5;Pará de Minas;MG;-19.8638262;-44.6028442
3935;8;5;Terra Santa;PA;-2.1045309;-56.4881937
3936;8;5;Barreiras;BA;-12.1422116;-44.9910115
3937;8;5;Vitória da Conquista;BA;-14.8472344;-40.8344454
3938;8;5;Silva Jardim;RJ;-22.6516356;-42.3911319
3939;8;5;Anastácio;MS;-20.4881112;-55.8039081
3940;8;5;Goiânia;GO;-16.5849894;-49.2566517
3941;8;5;Indaial;SC;-26.8878382;-49.2368585
3942;8;5;Três Rios;RJ;-22.1065487;-43.2059644
3943;8;5;Belo Jardim;PE;-8.3347365;-36.416724
3944;8;5;Salvador;BA;-12.8743081;-38.4632361
3945;8;5;Assis;SP;-22.6628285;-50.3966667
3946;8;5;Bragança Paulista;SP;-22.9144199;-46.5304606
3947;8;5;Niterói;RJ;-22.9018791;-43.108881
3948;8;5;Olímpio Noronha;MG;-22.0685791;-45.263833
3949;8;5;Cascavel;PR;-24.9714476;-53.4447343
3950;8;5;Cuiabá;MT;-15.5974762;-56.0671474
3951;8;5;Saquarema;RJ;-22.9315314;-42.5027213
3952;8;5;Fortaleza;CE;-3.7404448;-38.5363865
3953;8;5;Rio Branco;AC;-9.9463699;-67.8147529
3954;8;5;Serra Alta;SC;-26.7269452;-53.0444137
3955;8;5;Belém;PA;-1.3011791;-48.4697594
3956;8;5;Dezesseis de Novembro;RS;-28.2267416;-55.0475992
3957;8;5;Cabo Frio;RJ;-22.602158;-42.0008574
3958;8;5;Barra de Santa Rosa;PB;-6.7241855;-36.0569339
3959;9;5;Lavras do Sul;RS;-30.8173938;-53.9023446
3960;9;5;Campo Grande;MS;-20.4313026;-54.5567524
3961;9;5;Juazeiro;BA;-9.4303476;-40.4939724
3962;9;5;Lapão;BA;-11.3828761;-41.8281459
3963;9;5;Candelária;RS;-29.66351;-52.8004168
3964;9;5;Caseiros;RS;-28.2734323;-51.6927963
3965;9;5;Rio Negro;MS;-19.4484626;-54.9905054
3966;9;5;Teutônia;RS;-29.4663197;-51.8189123
3967;9;5;Lajeado;RS;-29.4438478;-51.9991306
3968;9;5;Vista Gaúcha;RS;-27.2872473;-53.7024731
3969;9;5;Teixeira de Freitas;BA;-17.5530139;-39.7401041
3970;9;5;Juína;MT;-11.421047;-58.7583349
3971;9;5;Erval Velho;SC;-27.2746994;-51.4431256
3972;9;5;São Borja;RS;-28.6300045;-56.0413099
3973;9;5;Barro Alto;BA;-11.7478092;-41.8256129
3974;9;5;João Lisboa;MA;-5.3359567;-47.3698587
3975;9;5;Belo Horizonte;MG;-19.9003791;-44.0196592
3976;9;5;Manaus;AM;-3.1397338;-59.9943668
3977;9;5;Capim Grosso;BA;-11.3767596;-40.0074444
3978;10;5;Belém;PA;-1.3868527;-48.4331049
3979;10;5;São Paulo;SP;-23.4703174;-46.6571249
3980;10;5;Teodoro Sampaio;BA;-12.310874;-38.6437142
3981;10;5;Marques de Souza;RS;-29.1997748;-52.233718
3982;10;5;Manoel Vitorino;BA;-14.1455958;-40.2419811
3983;10;5;Porto Alegre;RS;-30.0233118;-51.1245889
3984;10;5;Campinas;SP;-22.8722932;-47.1395636
3985;10;5;Luciára;MT;-11.2219518;-50.6692425
3986;10;5;Maringá;PR;-23.4100255;-51.9340792
3987;10;5;Santa Inês;BA;-13.2969583;-39.8235026
3988;10;5;Curionópolis;PA;-6.0961732;-49.60922
3989;10;5;Ibiam;SC;-27.180334;-51.2389237
3990;10;5;Parauapebas;PA;-6.0790985;-49.9020016
3991;10;5;Presidente Jânio Quadros;BA;-14.6891729;-41.6800611
3992;10;5;Paranatinga;MT;-14.4444027;-54.0579392
3993;10;5;Pato Branco;PR;-26.2248989;-52.6821801
3994;10;5;Otacílio Costa;SC;-27.4847605;-50.1289198
3995;10;5;Canaã dos Carajás;PA;-6.530814;-49.8447163
3996;10;5;Nova Canaã;BA;-14.795493;-40.1438226
3997;10;5;Dois Córregos;SP;-22.364814;-48.3752232
3998;10;5;Cachoeira do Arari;PA;-1.010571;-48.9594697
3999;10;5;Machacalis;MG;-17.0816227;-40.7194755
4000;10;5;Itaperuna;RJ;-21.2047217;-41.8890054
4001;10;5;Guaraciaba;SC;-26.5977272;-53.5187045
4002;11;5;Cuiabá;MT;-15.5980394;-56.1289537
4003;11;5;Guarujá;SP;-23.9521951;-46.2951326
4004;11;5;Escada;PE;-8.3318198;-35.3518313
4005;11;5;Presidente Prudente;SP;-22.1313647;-51.3991367
4006;11;5;Aparecida de Goiânia;GO;-16.8203479;-49.2448592
4007;11;5;Salvador;BA;-12.9186061;-38.4980836
4008;11;5;Monte Santo de Minas;MG;-21.1857092;-46.9643492
